id,code,name,note,account_type,reconcile,chart_template_id:id
account_template_emtsa_2_3_5_01_001_00001,2.3.5.01.001.00001,Ajuste de períodos anteriores,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_9_1_01_001_00002,2.9.1.01.001.00002,Conta de zeramento,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_1_1_01_001_00001,3.1.1.01.001.00001,MATERIAL APLICADO,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_1_1_01_003_00003,3.1.1.01.003.00003,Serviços de terceiros,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_001_00001,3.2.2.01.001.00001,Pro - Labore,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_001_00002,3.2.2.01.001.00002,Vale Transporte,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_001_00004,3.2.2.01.001.00004,13º Salario,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_001_00005,3.2.2.01.001.00005,Férias,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_001_00006,3.2.2.01.001.00006,INSS,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_001_00007,3.2.2.01.001.00007,FGTS,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_001_00008,3.2.2.01.001.00008,Exame Médico Ocupacional,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_001_00009,3.2.2.01.001.00009,Provisão de Férias,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_001_00010,3.2.2.01.001.00010,Provisao 13º salário,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_001_00012,3.2.2.01.001.00012,Salários e Ordenados,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_001_00013,3.2.2.01.001.00013,Vale Refeiçao e Transporte,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_001_00014,3.2.2.01.001.00014,Bolsa Auxilio Estagio,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_003_00001,3.2.2.01.003.00001,Simples,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_003_00003,3.2.2.01.003.00003,IPTU,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_003_00004,3.2.2.01.003.00004,IPVA e Licenciamento,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_003_00005,3.2.2.01.003.00005,Taxas diversas,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_003_00006,3.2.2.01.003.00006,Multas de mora,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_003_00007,3.2.2.01.003.00007,Contribuição Social,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_003_00008,3.2.2.01.003.00008,PIS,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_003_00009,3.2.2.01.003.00009,COFINS,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_003_00010,3.2.2.01.003.00010,ISS,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_003_00011,3.2.2.01.003.00011,IRPJ,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_003_00012,3.2.2.01.003.00012,CSLL,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_003_00013,3.2.2.01.003.00013,ICMS,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_003_00014,3.2.2.01.003.00014,IPI S/Vendas,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00001,3.2.2.01.004.00001,Despesas c/provedor de internet,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00002,3.2.2.01.004.00002,Telefone,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00003,3.2.2.01.004.00003,Energia Eletrica,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00004,3.2.2.01.004.00004,Despesa c/cartorio,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00005,3.2.2.01.004.00005,Despesa c/ correio,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00006,3.2.2.01.004.00006,Despesa c/ diversos,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00007,3.2.2.01.004.00007,Depreciaçao,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00008,3.2.2.01.004.00008,Despesa c/ informatica,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00009,3.2.2.01.004.00009,Despesas c/ frete,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00010,3.2.2.01.004.00010,Assistencia Medica e Odontológica,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00011,3.2.2.01.004.00011,Despesas c/ combustivel,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00012,3.2.2.01.004.00012,Despesas c/ estacionamento,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00013,3.2.2.01.004.00013,Despesas c/ bens permanentes,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00014,3.2.2.01.004.00014,Despesas c/ pedágio,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00015,3.2.2.01.004.00015,Despesas c/ escritório,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00016,3.2.2.01.004.00016,Hononário,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00017,3.2.2.01.004.00017,Água e Esgoto,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00018,3.2.2.01.004.00018,Despesa c/Propaganda,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00019,3.2.2.01.004.00019,Aluguel,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00020,3.2.2.01.004.00020,Serviços de terceiros,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00021,3.2.2.01.004.00021,Compra de Mercadoria,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00022,3.2.2.01.004.00022,CMV,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00023,3.2.2.01.004.00023,Despesa c/ locação,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00024,3.2.2.01.004.00024,Condominio e outras despesas,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00025,3.2.2.01.004.00025,Gastos c/ importação,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00026,3.2.2.01.004.00026,Lanches e refeição,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00027,3.2.2.01.004.00027,Assistencia Técnica,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00028,3.2.2.01.004.00028,Uniformes,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00029,3.2.2.01.004.00029,Feiras e Eventos,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00030,3.2.2.01.004.00030,Copa,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00031,3.2.2.01.004.00031,Despesa com gráfica,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00032,3.2.2.01.004.00032,Despesa c/ viagens e estadias,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00034,3.2.2.01.004.00034,Despesa c/ transporte,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00035,3.2.2.01.004.00035,Material uso e consumo,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00036,3.2.2.01.004.00036,Despesa c/ cartão de credito,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00037,3.2.2.01.004.00037,Despesa c/ brindes,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00038,3.2.2.01.004.00038,Seguro de vida,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00039,3.2.2.01.004.00039,Honorarios advocaticios,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00040,3.2.2.01.004.00040,Comissão de vendas,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00041,3.2.2.01.004.00041,Despesas c/ veiculo,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00042,3.2.2.01.004.00042,Bens de pequeno valor,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00043,3.2.2.01.004.00043,Manutenção e conservação,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00044,3.2.2.01.004.00044,Seguro veículo,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00046,3.2.2.01.004.00046,Sistema,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00047,3.2.2.01.004.00047,Reforma predial,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00049,3.2.2.01.004.00049,Prograganda e marketing,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00050,3.2.2.01.004.00050,Cursos,,expense,,l10n_br_coa_emtsa.account_template_emtsa
